LOCATION,DATES,CLOSURE TYPE,PURPOSE,HOTLINE
JESSE OWENS PKWY: BASELINE RD - CENTRAL AVE,11-02-2019 - 11/02/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
ALTA VISTA RD: CENTRAL AVE - 7TH ST,11-02-2019 - 11/02/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
CENTRAL AVE: JESSE OWENS PKWY - ALTA VISTA RD,11-02-2019 - 11/02/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
17TH AVE: ADAMS ST - JEFFERSON ST,11-01-2019 - 11/02/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
6TH ST: GARFIELD ST - MCKINLEY ST,11-01-2019 - 11/02/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
CAMELBACK RD: 20TH ST - 28TH ST,11-03-2019 - 11/03/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
24TH ST: CAMPBELL AVE - MISSOURI AVE,11-03-2019 - 11/03/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
PIERCE ST: CENTRAL AVE - 1ST ST,11-01-2019 - 11/04/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
ROOSEVELT ST: CENTRAL AVE - 7TH ST,11-01-2019 - 11/01/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
2ND ST: MORELAND ST - GARFIELD ST,11-01-2019 - 11/01/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
6TH ST: ROOSEVELT ST - GARFIELD ST,11-01-2019 - 11/01/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
5TH ST: ROOSEVELT ST - GARFIELD ST,11-01-2019 - 11/01/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
4TH ST: ROOSEVELT ST - GARFIELD ST,11-01-2019 - 11/01/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
16TH ST: WAHALLA LN - TONOPAH DR,07-29-2019 - 11/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
67TH AVE: BUCKEYE RD - LOWER BUCKEYE RD,09-03-2019 - 11/04/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
3RD AVE: JEFFERSON ST - WASHINGTON ST,11-02-2019 - 11/02/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
WASHINGTON ST: 1ST AVE - 19TH AVE,11-02-2019 - 11/02/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
JEFFERSON ST: 19TH AVE - 3RD AVE,11-02-2019 - 11/02/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
5TH ST: GARFIELD ST - MCKINLEY ST,11-01-2019 - 11/02/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
MCKINLEY ST: 5TH ST - 6TH ST,11-02-2019 - 11/04/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
7TH ST: MONROE ST - WASHINGTON ST,11-01-2019 - 11/04/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
MONROE ST: 5TH ST - 7TH ST,11-01-2019 - 11/04/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
43RD AVE: PINNACLE PEAK RD - MISTY WILLOW LN,09-16-2019 - 11/08/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
OSBORN RD: 67TH AVE - 71ST AVE,09-09-2019 - 11/09/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
THOMAS RD: 42ND ST - 44TH ST,10-04-2019 - 11/10/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,480-935-6312
PIERCE ST: CENTRAL AVE - 1ST ST,11-08-2019 - 11/11/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
MISSOURI AVE: 7TH AVE - 7TH ST,11-11-2019 - 11/11/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
CENTRAL AVE: CAMPBELL AVE - MISSOURI AVE,11-11-2019 - 11/11/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
INDIAN SCHOOL RD: CENTRAL AVE - 16TH ST,11-11-2019 - 11/11/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
CENTRAL AVE: MISSOURI AVE - BETHANY HOME RD,11-11-2019 - 11/11/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
7TH ST: INDIAN SCHOOL RD - OSBORN RD,11-11-2019 - 11/11/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
7TH ST: THOMAS RD - BETHANY HOME RD,11-11-2019 - 11/11/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
CAMELBACK RD: 7TH AVE - 16TH ST,11-11-2019 - 11/11/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
CENTRAL AVE: CAMPBELL AVE - MISSOURI AVE,11-11-2019 - 11/11/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
TURNEY AVE: 38TH DR - 39TH AVE,11-11-2019 - 11/12/2019,FULL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
MCDOWELL RD: 27TH AVE - 35TH AVE,09-13-2019 - 11/13/2019,PARTIAL,STREET TRANSPORTATION WORK,480-281-1506
BROADWAY RD: 67TH AVE - 59TH AVE,07-15-2019 - 11/15/2019,PARTIAL,STREET TRANSPORTATION WORK,602-875-8700
VAN BUREN ST: GALVIN PKWY - PROJECT DR,11-16-2019 - 11/16/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
PROJECT DR: VAN BUREN ST - CENTER PKWY,11-16-2019 - 11/16/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
PRIEST DR: SALT RIVER DR - VAN BUREN ST,11-16-2019 - 11/16/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
CAMELBACK RD: 43RD AVE - 51ST AVE,09-17-2019 - 11/16/2019,PARTIAL,STREET TRANSPORTATION WORK,602-795-1515
39TH AVE: THOMAS RD - MCDOWELL RD,09-17-2019 - 11/17/2019,PARTIAL,STREET TRANSPORTATION WORK,480-281-1506
SOUTHERN AVE: 51ST AVE - 43RD AVE,09-17-2019 - 11/17/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
23RD AVE: HAPPY VALLEY RD - PINNACLE PEAK RD,09-23-2019 - 11/17/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
PIERCE ST: CENTRAL AVE - 1ST ST,11-17-2019 - 11/17/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
ADAMS ST: 19TH AVE - BLACK CANYON HWY,09-20-2019 - 11/20/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
43RD AVE: MISTY WILLOW LN - CREEDANCE BLVD,11-11-2019 - 11/22/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
JEFFERSON ST: 16TH AVE - 17TH AVE,11-01-2019 - 11/22/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
MCDOWELL RD: 32ND ST - 40TH ST,09-27-2019 - 11/22/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
JEFFERSON ST: 16TH AVE - 17TH AVE,11-01-2019 - 11/22/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
39TH AVE: THOMAS RD - OSBORN RD,10-07-2019 - 11/22/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
EARLL DR: 3RD AVE - 7TH AVE,09-30-2019 - 11/22/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
40TH ST: PORTLAND ST - MCDOWELL RD,09-30-2019 - 11/22/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
CAVE CREEK RD: GREENWAY RD - BELL RD,10-14-2019 - 11/22/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
17TH AVE: ADAMS ST - JEFFERSON ST,11-23-2019 - 11/23/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
MARCONI AVE: PARADISE LN - 2ND AVE,11-23-2019 - 11/23/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
TIERRA BUENA LN: HANA MAUI DR - 2ND AVE,11-23-2019 - 11/23/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
2ND AVE: TIERRA BUENA LN - WALTANN LN,11-23-2019 - 11/23/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
LE MARCHE AVE: 6TH PL - PARADISE LN,11-23-2019 - 11/23/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
WALTANN LN: 3RD AVE - 4TH ST,11-23-2019 - 11/23/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
4TH ST: WALTANN LN - CAROL ANN WAY,11-23-2019 - 11/23/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
SOUTHERN AVE: 7TH ST - 16TH ST,09-23-2019 - 11/23/2019,PARTIAL,STREET TRANSPORTATION WORK,480-281-1506
PIERCE ST: CENTRAL AVE - 1ST ST,11-22-2019 - 11/25/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
68TH ST: BELL RD - MONTREAL PL,09-25-2019 - 11/25/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
59TH AVE: PINNACLE PEAK RD - ALAMEDA RD,09-26-2019 - 11/26/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
33RD AVE: VIRGINIA AVE - THOMAS RD,11-25-2019 - 11/27/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
THOMAS RD: 31ST AVE - 33RD AVE,11-25-2019 - 11/27/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
32ND AVE: VIRGINIA AVE - THOMAS RD,11-25-2019 - 11/27/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
THOMAS RD: 31ST AVE - 35TH AVE,11-25-2019 - 11/27/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
VIRGINIA AVE: 31ST AVE - 35TH AVE,11-25-2019 - 11/27/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
3RD ST: WASHINGTON ST - JEFFERSON ST,08-26-2019 - 11/27/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
ROOSEVELT ST: 7TH AVE - 1ST AVE,09-30-2019 - 11/29/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
MARKETPLACE WAY: 10TH ST - CATHEDRAL ROCK DR,11-29-2019 - 11/30/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
CHANDLER BLVD: 21ST ST - MARKETPLACE WAY,11-30-2019 - 11/30/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
CAMELBACK RD: 99TH AVE - 91ST AVE,12-01-2019 - 12/01/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
91ST AVE: CAMELBACK RD - INDIAN SCHOOL RD,12-01-2019 - 12/01/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
INDIAN SCHOOL RD: 7TH AVE - 19TH AVE,10-01-2019 - 12/01/2019,PARTIAL,STREET TRANSPORTATION WORK,480-281-1506
20TH ST: GREENFIELD RD - INDIAN SCHOOL RD,10-01-2019 - 12/01/2019,PARTIAL,STREET TRANSPORTATION WORK,480-281-1506
THOMAS RD: 24TH ST - 21ST PL,10-01-2019 - 12/01/2019,PARTIAL,STREET TRANSPORTATION WORK,480-281-1506
PIERCE ST: CENTRAL AVE - 1ST ST,11-29-2019 - 12/02/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
5TH ST: WASHINGTON ST - MONROE ST,11-28-2019 - 12/01/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
BASELINE RD: 7TH AVE - CENTRAL AVE,10-07-2019 - 12/07/2019,PARTIAL,STREET TRANSPORTATION WORK,480-281-1506
19TH AVE: BELL RD - GREENWAY RD,10-07-2019 - 12/07/2019,PARTIAL,STREET TRANSPORTATION WORK,480-281-1506
CAMELBACK RD: 99TH AVE - 91ST AVE,12-08-2019 - 12/08/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
91ST AVE: CAMELBACK RD - INDIAN SCHOOL RD,12-08-2019 - 12/08/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
MONROE ST: 17TH AVE - 16TH AVE,05-09-2019 - 12/09/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
17TH AVE: ADAMS ST - MONROE ST,05-09-2019 - 12/09/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
PIERCE ST: CENTRAL AVE - 1ST ST,12-06-2019 - 12/09/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
ROOSEVELT ST: CENTRAL AVE - 7TH ST,12-06-2019 - 12/06/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
2ND ST: MORELAND ST - GARFIELD ST,12-06-2019 - 12/06/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
6TH ST: ROOSEVELT ST - GARFIELD ST,12-06-2019 - 12/06/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
5TH ST: ROOSEVELT ST - GARFIELD ST,12-06-2019 - 12/06/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
4TH ST: ROOSEVELT ST - GARFIELD ST,12-06-2019 - 12/06/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
3RD AVE: JEFFERSON ST - ADAMS ST,12-06-2019 - 12/09/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
WASHINGTON ST: 1ST AVE - 4TH AVE,12-06-2019 - 12/09/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
79TH AVE: BUCKEYE RD - PAPAGO ST,06-13-2019 - 12/12/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
PIERCE ST: CENTRAL AVE - 1ST ST,12-12-2019 - 12/12/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
MCKINLEY ST: CENTRAL AVE - 1ST ST,12-12-2019 - 12/12/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
THOMAS RD: 12TH ST - 20TH ST,12-14-2019 - 12/14/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
16TH ST: MCDOWELL RD - OAK ST,12-14-2019 - 12/14/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
CAMELBACK RD: 99TH AVE - 91ST AVE,12-15-2019 - 12/15/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
91ST AVE: CAMELBACK RD - INDIAN SCHOOL RD,12-15-2019 - 12/15/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
PIERCE ST: CENTRAL AVE - 1ST ST,12-13-2019 - 12/16/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
JEFFERSON ST: 16TH AVE - 17TH AVE,12-04-2019 - 12/20/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
PIERCE ST: CENTRAL AVE - 1ST ST,12-19-2019 - 12/19/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
MCKINLEY ST: CENTRAL AVE - 1ST ST,12-19-2019 - 12/19/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
WASHINGTON ST: 5TH ST - 1ST ST,09-17-2019 - 12/20/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
PIERCE ST: CENTRAL AVE - 1ST ST,12-20-2019 - 12/23/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
27TH ST: ADAMS ST - WASHINGTON ST,12-16-2019 - 12/23/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
ADAMS ST: 27TH ST - 28TH ST,12-16-2019 - 12/23/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
WASHINGTON ST: 27TH ST - 28TH ST,12-16-2019 - 12/23/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
5TH ST: WASHINGTON ST - MONROE ST,09-27-2019 - 12/26/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
3RD ST: VAN BUREN ST - TAYLOR ST,09-27-2019 - 12/27/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
MISSOURI AVE: CENTRAL AVE - 7TH AVE,12-27-2019 - 12/28/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
MISSOURI AVE: CENTRAL AVE - 7TH ST,12-27-2019 - 12/28/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
CENTRAL AVE: MISSOURI AVE - CAMELBACK RD,12-27-2019 - 12/28/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
CAMELBACK RD: CENTRAL AVE - 7TH AVE,12-27-2019 - 12/28/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
CAMELBACK RD: CENTRAL AVE - 16TH ST,12-27-2019 - 12/28/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
7TH ST: CAMELBACK RD - INDIAN SCHOOL RD,12-27-2019 - 12/28/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
INDIAN SCHOOL RD: CENTRAL AVE - 16TH ST,12-27-2019 - 12/28/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
PIERCE ST: CENTRAL AVE - 1ST ST,12-27-2019 - 12/30/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
40TH ST: COTTONWOOD LN - PECOS RD,05-08-2019 - 12/31/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
40TH ST: FRYE RD - COTTONWOOD LN,05-08-2019 - 12/31/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
24TH ST: LIBERTY LN - PECOS RD,05-08-2019 - 12/31/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
MCKINLEY ST: 2ND AVE - 3RD AVE,07-22-2019 - 12/31/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
59TH AVE: BASELINE RD - ELLIOT RD,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
55TH AVE: VAN BUREN ST - BUCHANAN ST,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
83RD AVE: THOMAS RD - BUCKEYE RD,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
83RD AVE: THOMAS RD - BUCKEYE RD,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
56TH AVE: BUCHANAN ST - BUCKEYE RD,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
MCDOWELL RD: 67TH AVE - 35TH AVE,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
VAN BUREN ST: 67TH AVE - 35TH AVE,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
SOUTHERN AVE: 55TH AVE - 67TH AVE,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
LATHAM ST: 55TH AVE - 62ND AVE,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
BASELINE RD: 55TH AVE - 67TH AVE,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
59TH AVE: THOMAS RD - BUCKEYE RD,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
67TH AVE: THOMAS RD - BUCKEYE RD,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
43RD AVE: THOMAS RD - BUCKEYE RD,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
35TH AVE: THOMAS RD - BUCKEYE RD,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
LOWER BUCKEYE RD: 55TH AVE - 67TH AVE,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
59TH AVE: BUCKEYE RD - BROADWAY RD,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
75TH AVE: THOMAS RD - BUCKEYE RD,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
THOMAS RD: 75TH AVE - 35TH AVE,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
BUCKEYE RD: 75TH AVE - 35TH AVE,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
51ST AVE: THOMAS RD - BUCKEYE RD,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
24TH ST: LIBERTY LN - PECOS RD,07-01-2019 - 12/31/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
32ND ST: PECOS RD - FRYE RD,08-01-2019 - 12/31/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
PECOS RD: 40TH ST - 24TH ST,07-01-2019 - 12/31/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,602-875-8700
PECOS RD: 40TH ST - 24TH ST,07-01-2019 - 12/31/2019,FULL,STREET TRANSPORTATION WORK,602-875-8700
32ND ST: FRYE RD - PECOS RD,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,602-875-8700
32ND ST: LIBERTY LN - PECOS RD,07-01-2019 - 12/31/2019,FULL,STREET TRANSPORTATION WORK,602-875-8700
DESERT FOOTHILLS PKWY: GLENHAVEN DR - PECOS RD,08-09-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
PECOS RD: DESERT FOOTHILLS PKWY - 17TH AVE,08-09-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
17TH AVE: LACEWOOD PL - PECOS RD,07-01-2019 - 12/31/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,602-875-8700
PECOS RD: DESERT FOOTHILLS PKWY - 17TH AVE,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,602-875-8700
40TH ST: COTTONWOOD LN - FRYE RD,07-01-2019 - 12/31/2019,FULL,STREET TRANSPORTATION WORK,NOT APPLICABLE
40TH ST: PECOS RD - COTTONWOOD LN,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,855-763-5202
DESERT FOOTHILLS PKWY: LIBERTY LN - GLENHAVEN DR,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
PECOS RD: 40TH ST - 24TH ST,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,602-875-8700
40TH ST: PECOS RD - FRYE RD,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,602-875-8700
PECOS RD: 40TH ST - 32ND ST,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CHANDLER BLVD: 40TH ST - 32ND ST,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
32ND ST: CHANDLER BLVD - PECOS RD,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
40TH ST: PECOS RD - BRIARWOOD TER,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
PECOS RD: 40TH ST - 32ND ST,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CHANDLER BLVD: 40TH ST - 32ND ST,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
40TH ST: PECOS RD - BRIARWOOD TER,07-01-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
POLK ST: CENTRAL AVE - 1ST ST,08-16-2019 - 12/31/2019,FULL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
3RD ST: MORELAND ST - PORTLAND ST,08-16-2019 - 12/31/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
SKY HARBOR CIR: 24TH ST - BUCKEYE RD,09-23-2019 - 12/31/2019,PARTIAL,STREET TRANSPORTATION WORK,602-553-0005
7TH AVE: COCOPAH ST - GIBSON LN,08-09-2019 - 01/10/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
7TH AVE: COCOPAH ST - GIBSON LN,10-01-2019 - 01/10/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
BUCKEYE RD: 91ST AVE - 75TH AVE,07-15-2019 - 01/14/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,602-506-0543
52ND ST: GREENWAY RD - AIRE LIBRE AVE,09-03-2019 - 01/17/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
3RD ST: JACKSON ST - LINCOLN ST,07-29-2019 - 01/22/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
JEFFERSON ST: 1ST ST - 3RD ST,11-27-2019 - 02/03/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
3RD ST: WASHINGTON ST - JEFFERSON ST,11-27-2019 - 02/03/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
17TH AVE: ADAMS ST - JEFFERSON ST,02-05-2020 - 02/05/2020,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
